id,section,module,competency_domain,skill_area,measurement_element,question,response_options,relevance,recommended_core,cognitively_tested,source
IDL1_search_internet,1.4.1 Foundational,Information & Data Literacy,Browsing searching and filtering,Online information searching,Online information searching,"Have you ever searched for information on Google, YouTube, {other locally relevant examples} or other places on the internet?",1. Yes; 2. No,,TRUE,TRUE,Adapted from GKO 2021
IDL2_ai_recognition,1.4.1 Foundational,Information & Data Literacy,Browsing searching and filtering,AI assisted search,Recognition of specific AI assistants,"Have you ever seen an AI Assistant like AI Mode in Google Search, or Google Assistant, or Meta AI in WhatsApp, or ChatGPT, or MS Copilot or Alexa or Siri? [Show pictures or logos]",1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team
IDL3_ai_use,1.4.1 Foundational,Information & Data Literacy,Browsing searching and filtering,AI assisted search,Use of any AI Assistant,"Have you ever used an AI Assistant like AI Mode in Google Search, or Google Assistant, or Meta AI in WhatsApp, or ChatGPT, or MS Copilot or Alexa or Siri?",1. AI Mode in Google Search; 2. Google Assistant; 3. Meta AI in WhatsApp; 4. ChatGPT; 5. MS Copilot; 6. Alexa; 7. Siri; 8. Other AI assistant specify,,FALSE,FALSE,Developed by UCT metrics team
IDL4_verify_info,1.4.1 Foundational,Information & Data Literacy,Evaluating data information and digital content,Verifying information online,Verifying information,"Have you ever checked if the information you found online (e.g. news sites, social media) was true?",1. Yes; 2. No,,TRUE,TRUE,Adapted from EU Survey on ICT use
IDL5_verify_methods,1.4.1 Foundational,Information & Data Literacy,Evaluating data information and digital content,Verifying information online,Methods for verifying information,"[If yes to IDL4] How did you check the truthfulness of the information found on the internet? (tick all that apply)",1. Looked for the same information on other websites; 2. Read or joined online discussions about it; 3. Asked Google about it; 4. Asked WhatsApp about it; 5. Used another AI tool to check; 96. Other,IDL4_verify_info == 1,TRUE,TRUE,Adapted from EU Survey on ICT use
IDL6_verify_ai,1.4.1 Foundational,Information & Data Literacy,Evaluating data information and digital content,Verifying AI generated information,Verification of AI generated information,"Have you ever checked whether information you received from AI tools was true?",1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team
IDL7_verify_ai_methods,1.4.1 Foundational,Information & Data Literacy,Evaluating data information and digital content,Verifying AI generated information,Methods of verifying AI generated information,"[If yes to IDL6] How did you check the truthfulness of the information provided by AI tools? (tick all that apply)",1. Searched on Google; 2. Asked friends/family; 3. Checked trusted websites; 4. Compared with own knowledge; 5. Asked another AI tool; 96. Other,IDL6_verify_ai == 1,FALSE,FALSE,Adapted from EU Survey on ICT use
IDL8_ai_fallibility,1.4.1 Foundational,Information & Data Literacy,Evaluating data information and digital content,Misinformation and AI,Awareness of AI fallibility,"How often do you think ChatGPT, Gemini, Microsoft Copilot, and other AI tools make mistakes?",1. Often; 2. Rarely; 3. Never,,FALSE,FALSE,Developed by UCT metrics team
IDL9_deepfake,1.4.1 Foundational,Information & Data Literacy,Evaluating data information and digital content,Misinformation and AI,Identification of deepfakes,"Are you able to tell when an image or video posted online is not real, or is created by AI tools?",1. Yes; 2. No; 3. Sometimes,,FALSE,FALSE,Developed by UCT metrics team
IDL10_delete_files,1.4.1 Foundational,Information & Data Literacy,Managing data information and digital content,File management,Deleting files,"Have you ever deleted photos, videos, documents or other files on a computer, laptop, tablet, or mobile phone?",1. Yes; 2. No,,TRUE,TRUE,Adapted from Young Lives
IDL11_digital_hygiene,1.4.1 Foundational,Information & Data Literacy,Managing data information and digital content,File management,Digital hygiene,"Have you ever used a feature on your phone or computer that suggests deleting duplicate or unnecessary photos or files?",1. Yes; 2. No,,FALSE,FALSE,Developed by UCT metrics team
IDL12_create_folder,1.4.1 Foundational,Information & Data Literacy,Managing data information and digital content,File management,Creating a folder,"Have you ever created a folder on a computer, laptop, tablet, or mobile phone?",1. Yes; 2. No,,FALSE,TRUE,Adapted from ITU
ICC1_voice_call,1.4.1 Foundational,Communication & Collaboration,Interacting through digital technologies,Making calls,Voice calls,Have you ever made a phone call by dialing a number?,1. Yes; 2. No,,FALSE,TRUE,Adapted from GKO 2021
